,weights_in
539,0.5081088860432625
540,-0.2675439960277949
541,-0.06842609759091212
542,0.031835104386320506
543,-0.2468605110860524
544,-0.09542734834043369
545,-0.6542599808438728
546,-0.31519219621444383
547,-0.43941751564978354
548,-0.8512171480187127
549,0.1652404451345676
550,-0.13361673800012316
551,0.1587578811966995
552,-0.07331055978305216
553,-0.1500389605670914
554,-0.2460602440134495
555,-0.01255348596897699
556,-0.23054276504852814
557,0.25431697087608335
558,0.4495874108214628
559,-0.26141116176156715
560,0.3696000524195245
561,0.44384808279549515
562,-0.17579409791204467
563,-0.30677858521597656
564,-0.052378774621889834
565,-0.07832663258229693
566,0.6961972947318973
567,-0.3879692207154788
568,0.3297052809271206
569,0.06984278394728945
570,-0.07881469932637619
571,-0.8219625969320615
572,-0.04349759889467982
573,0.3405906443724469
574,0.047769355499595816
575,-0.01810552550677198
576,-0.1390130973039833
577,0.2573228961033223
578,0.43771820422615765
