,rct,tsi,stfi,caliper,moisture,basis,cull,grade_CM020230,grade_CM020330,grade_CM020410,grade_NL050310,grade_NL050350,grade_NL050420,grade_CM020230,grade_CM020330,grade_CM020410,grade_NL050310,grade_NL050350,grade_NL050420,prediction
134,35.0,3.5133,11.0209,8.0151,8.0143,24.3306,27.5,1,0,0,0,0,0,1,0,0,0,0,0,32.67173141346118
135,29.0,3.4192,10.759,8.3694,7.3891,24.6743,27.5,1,0,0,0,0,0,1,0,0,0,0,0,33.1115384001739
136,33.0,3.5325,10.2452,8.1496,6.0518,24.7624,27.5,1,0,0,0,0,0,1,0,0,0,0,0,34.061988341823806
137,29.0,3.4858,10.5847,7.8707,7.8205,24.7997,27.5,1,0,0,0,0,0,1,0,0,0,0,0,32.04944187493861
138,30.0,3.4825,9.2825,7.6903,5.7405,25.6943,27.5,1,0,0,0,0,0,1,0,0,0,0,0,33.08517288167065
139,29.0,3.5025,10.281,7.9889,5.543,26.1449,27.5,1,0,0,0,0,0,1,0,0,0,0,0,35.280970135986884
140,71.0,4.725,21.0555,9.5112,9.0371,26.2904,69.5,0,0,0,0,1,0,0,0,0,0,1,0,63.6861818910252
141,30.0,3.555,13.0318,8.061,8.2154,26.9867,27.5,1,0,0,0,0,0,1,0,0,0,0,0,35.5727783364034
142,31.0,3.4642,10.2409,7.6312,6.5169,26.9875,27.5,1,0,0,0,0,0,1,0,0,0,0,0,32.719549481092415
143,72.0,4.6975,19.5116,9.4685,8.3173,27.507,69.5,0,0,0,0,1,0,0,0,0,0,1,0,64.28355409813388
144,72.0,4.7858,23.6198,9.4554,8.5394,27.7835,69.5,0,0,0,0,1,0,0,0,0,0,1,0,67.94508788017583
145,70.0,4.2842,19.672,9.4357,8.2433,28.4959,69.5,0,0,0,0,1,0,0,0,0,0,1,0,62.482318046323726
146,28.0,3.2633,14.1303,8.9009,8.3913,29.1711,27.5,1,0,0,0,0,0,1,0,0,0,0,0,39.09130479790514
147,34.0,3.445,8.76,8.0348,4.7968,29.8988,27.5,1,0,0,0,0,0,1,0,0,0,0,0,38.32565622041423
148,73.0,4.6367,20.1726,9.708,7.5756,29.9443,69.5,0,0,0,0,1,0,0,0,0,0,1,0,69.12071363886682
149,32.0,3.5392,8.4899,8.0774,3.6646,30.5075,27.5,1,0,0,0,0,0,1,0,0,0,0,0,42.813792217276465
150,63.0,4.5842,16.7806,8.0709,6.3624,31.1664,59.5,0,0,0,1,0,0,0,0,0,1,0,0,59.416041608514675
151,64.0,4.5658,16.6499,8.2972,6.7833,31.2637,59.5,0,0,0,1,0,0,0,0,0,1,0,0,59.26087716846293
152,71.0,4.275,18.5941,9.8786,6.9135,31.588,69.5,0,0,0,0,1,0,0,0,0,0,1,0,68.66070660781665
153,65.0,4.6683,16.402,8.3202,6.1782,31.6272,59.5,0,0,0,1,0,0,0,0,0,1,0,0,61.50505497415381
154,61.0,4.4975,14.5004,8.586,6.3869,31.6955,59.5,0,0,0,1,0,0,0,0,0,1,0,0,59.00391168991622
155,62.0,4.3533,16.1581,8.2743,6.0973,31.6972,59.5,0,0,0,1,0,0,0,0,0,1,0,0,59.00225202171279
156,61.0,4.7717,16.423,8.586,6.1953,31.7262,59.5,0,0,0,1,0,0,0,0,0,1,0,0,63.528600856740205
157,61.0,4.5533,17.5687,8.3202,6.4104,31.7467,59.5,0,0,0,1,0,0,0,0,0,1,0,0,61.466956029603516
158,71.0,5.0158,18.2777,8.3957,5.6824,31.7638,59.5,0,0,0,1,0,0,0,0,0,1,0,0,67.27453758154324
159,64.0,4.5433,16.7701,8.3038,6.497,31.7774,59.5,0,0,0,1,0,0,0,0,0,1,0,0,60.28923076696811
160,63.0,4.4917,16.4985,8.2841,6.2727,31.8371,59.5,0,0,0,1,0,0,0,0,0,1,0,0,60.10458120924329
161,62.0,4.5825,15.9558,8.4318,6.1151,31.8474,59.5,0,0,0,1,0,0,0,0,0,1,0,0,61.23865801134921
162,59.0,4.6217,16.539,8.9764,6.3352,31.8918,59.5,0,0,0,1,0,0,0,0,0,1,0,0,64.22445805155228
163,61.0,4.6908,14.6021,8.399,6.484,31.9174,59.5,0,0,0,1,0,0,0,0,0,1,0,0,59.64666859907501
164,62.0,4.6633,17.0785,8.6089,6.4075,31.9327,59.5,0,0,0,1,0,0,0,0,0,1,0,0,63.228195409460625
165,63.0,4.6508,16.6157,8.9469,6.2946,31.9549,59.5,0,0,0,1,0,0,0,0,0,1,0,0,64.52223389968692
167,61.0,4.4092,15.8119,8.4908,6.7063,31.9908,59.5,0,0,0,1,0,0,0,0,0,1,0,0,58.79787476957366
168,64.0,4.675,17.3707,8.5532,6.7481,31.9925,59.5,0,0,0,1,0,0,0,0,0,1,0,0,62.63283756449348
169,64.0,4.6017,14.0655,8.9173,5.8994,31.9959,59.5,0,0,0,1,0,0,0,0,0,1,0,0,62.205717144038026
170,65.0,4.525,14.75,8.6909,6.3975,32.0095,59.5,0,0,0,1,0,0,0,0,0,1,0,0,60.16821059745562
171,64.0,4.6075,14.7157,9.0584,5.9612,32.0215,59.5,0,0,0,1,0,0,0,0,0,1,0,0,63.47998915875813
172,61.0,4.545,16.1132,8.5236,6.5488,32.0454,59.5,0,0,0,1,0,0,0,0,0,1,0,0,60.685808627271854
173,65.0,4.6858,18.0388,8.4547,6.3969,32.0614,59.5,0,0,0,1,0,0,0,0,0,1,0,0,63.81212083673509
174,32.0,3.4375,11.1818,7.897,5.1507,32.0642,27.5,1,0,0,0,0,0,1,0,0,0,0,0,40.122996820830004
175,71.0,4.46,17.7365,9.2585,7.2046,32.077,69.5,0,0,0,0,1,0,0,0,0,0,1,0,65.99840504487581
176,65.0,4.5367,15.4683,8.8058,6.1949,32.093,59.5,0,0,0,1,0,0,0,0,0,1,0,0,62.1145409378736
177,62.0,4.815,16.1224,8.7369,6.1114,32.1017,59.5,0,0,0,1,0,0,0,0,0,1,0,0,64.7029441377336
178,64.0,4.865,16.8894,8.5499,6.3345,32.1171,59.5,0,0,0,1,0,0,0,0,0,1,0,0,64.49965204978312
179,65.0,4.7467,17.0625,8.5335,6.1101,32.1239,59.5,0,0,0,1,0,0,0,0,0,1,0,0,64.27687376819473
180,62.0,4.6133,15.5021,8.481,6.5457,32.1427,59.5,0,0,0,1,0,0,0,0,0,1,0,0,60.423971734092675
181,62.0,4.615,15.8318,8.878,6.2291,32.158,59.5,0,0,0,1,0,0,0,0,0,1,0,0,63.39491552969772
182,61.0,4.4083,16.1706,8.7402,6.4991,32.1582,59.5,0,0,0,1,0,0,0,0,0,1,0,0,60.94259729811905
183,67.0,4.7842,18.6427,8.5335,6.2675,32.16,59.5,0,0,0,1,0,0,0,0,0,1,0,0,65.8598739040676
184,64.0,4.4475,15.9109,8.6024,6.0518,32.1717,59.5,0,0,0,1,0,0,0,0,0,1,0,0,61.392678842468335
185,64.0,4.6336,15.0272,8.6936,6.3054,32.1805,59.5,0,0,0,1,0,0,0,0,0,1,0,0,61.63206034360078
186,64.0,4.5158,16.334,8.6647,6.3805,32.1973,59.5,0,0,0,1,0,0,0,0,0,1,0,0,61.879381747474525
187,65.0,4.7308,17.0712,9.0354,6.2964,32.2024,59.5,0,0,0,1,0,0,0,0,0,1,0,0,66.19915595615595
188,63.0,4.4325,15.9206,8.7828,6.5505,32.2092,59.5,0,0,0,1,0,0,0,0,0,1,0,0,60.96805685409604
189,64.0,4.7358,17.1878,9.17,5.4528,32.2195,59.5,0,0,0,1,0,0,0,0,0,1,0,0,68.64585067773554
