,tsi,stfi,caliper,moisture,basisweight,rct,prediction,,,
230,5.12,28.09,15.41,6.41,52.34,125,124.6456417,-0.354358258,0.354358258,
231,5.15,29.09,15.37,6.08,52.34,131,125.4831896,-5.516810396,5.516810396,
232,5.07,28.17,15.47,6.63,52.35,131,124.0955549,-6.904445149,6.904445149,
233,5.09,29.66,15.16,5.9,52.35,129,125.6598784,-3.340121637,3.340121637,
234,4.24,27.37,14.38,6.4,52.35,122,121.0942105,-0.905789533,0.905789533,
235,5.02,27.61,15.4,6.69,52.35,126,123.6843852,-2.315614776,2.315614776,
236,4.85,25.98,15.34,6.16,52.35,126,123.0629125,-2.937087467,2.937087467,
237,4.73,27.2,15.64,6.28,52.35,122,122.473576,0.473575958,0.473575958,
238,4.9,29.09,15.39,6.63,52.36,123,123.6153439,0.615343866,0.615343866,
239,4.82,23.72,15.46,6.11,52.37,120,122.3404979,2.340497937,2.340497937,
240,4.25,24.47,15.58,6.39,52.38,124,120.0087703,-3.99122973,3.99122973,
241,4.18,19.73,14.3,6.4,52.38,123,120.6936983,-2.306301691,2.306301691,
242,4.77,27.51,15.51,6.41,52.38,123,122.6986393,-0.301360719,0.301360719,
243,4.57,28.84,15.52,6.56,52.39,128,121.9631478,-6.036852161,6.036852161,
244,4.99,27.9,15.26,6.02,52.39,132,124.5879338,-7.412066172,7.412066172,
245,5.13,25.74,15.64,5.34,52.39,126,124.9068278,-1.093172186,1.093172186,
246,4.88,27.58,15.52,6.44,52.39,122,123.2189505,1.218950537,1.218950537,
247,4.99,28.46,14.21,5.86,52.4,126,125.0244399,-0.975560113,0.975560113,
248,4.91,25.35,15.46,6.28,52.4,121,122.9362066,1.936206601,1.936206601,
249,4.85,28.87,14.46,6.55,52.4,123,123.9461709,0.946170938,0.946170938,
250,4.84,29.07,14.47,7.05,52.41,122,123.4672707,1.4672707,1.4672707,
251,4.21,22.58,15.08,6.41,52.41,124,120.3333958,-3.666604229,3.666604229,
252,4.84,25.97,15.33,6.38,52.41,126,122.7664149,-3.233585094,3.233585094,
253,4.73,27.23,15.55,6.64,52.41,124,122.1188802,-1.881119842,1.881119842,
254,4.96,26.6,15.63,6.74,52.42,126,122.896787,-3.103213005,3.103213005,
255,4.94,27.48,15.39,6.18,52.42,123,123.9258815,0.9258815,0.9258815,
256,4.97,28.31,15.37,6.57,52.42,123,123.8347535,0.834753544,0.834753544,
257,4.94,29.57,14.95,6.49,52.42,126,124.4959176,-1.504082437,1.504082437,
258,4.99,28.53,14.71,6.12,52.42,124,124.9412753,0.941275274,0.941275274,
259,5,27.83,15.67,6.49,52.43,119,123.7143956,4.714395646,4.714395646,
260,4.85,29.04,15.2,5.75,52.43,125,124.5304073,-0.469592677,0.469592677,
261,4.79,29.22,14.83,6.27,52.43,125,123.9930832,-1.006916786,1.006916786,
262,5.15,28.78,15.12,6.42,52.43,126,125.2036461,-0.796353904,0.796353904,
263,4.69,30.33,14.51,6.95,52.43,122,123.3496187,1.349618748,1.349618748,
264,4.84,29.98,14.43,6.39,52.44,131,124.5213874,-6.478612571,6.478612571,
265,4.88,27.88,15.12,5.82,52.44,123,124.3591276,1.359127567,1.359127567,
266,5.01,27.15,15.73,5.92,52.44,127,124.2342803,-2.765719677,2.765719677,
